127.0.0.1 - - [13/Jan/2023:15:49:18 +0900] "GET / HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:03 +0900] "GET /display?fileName=2023%2F01%2F08%2Ff3fb3ad0-e9f2-4086-8405-60dc00a80832_%EC%95%84%EC%9D%B4%EC%8A%A4%20%EB%B0%94%EB%8B%90%EB%9D%BC%EB%B9%88%20%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 114634
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:03 +0900] "GET /display?fileName=2023%2F01%2F08%2Ffb6062c7-7707-48c5-a5a7-795987dd50b8_%EB%B0%94%EB%8B%90%EB%9D%BC%EB%9D%BC%EB%96%BC.png HTTP/1.1" 200 16562
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:03 +0900] "GET /display?fileName=2023%2F01%2F08%2F33bd8132-3b09-49f7-abbe-a93754ecbd85_%EC%9E%90%EB%B0%94%EC%B9%A9%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 31661
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:03 +0900] "GET /display?fileName=2023%2F01%2F08%2F75366321-719c-4c52-8927-4be3d6fca74b_%EB%AA%A8%EC%B9%B4%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 29616
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:07 +0900] "GET /admin/main HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:10 +0900] "GET /admin/productManage HTTP/1.1" 200 19446
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:14 +0900] "GET /admin/productManage?productPageNum=2&productAmount=10&productKeyword= HTTP/1.1" 200 19487
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:17 +0900] "GET /admin/productManage?productPageNum=3&productAmount=10&productKeyword= HTTP/1.1" 200 13996
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:50:20 +0900] "GET /admin/productManage?productPageNum=2&productAmount=10&productKeyword= HTTP/1.1" 200 19487
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:20 +0900] "GET /admin/productManage?productPageNum=2&productAmount=10&productKeyword= HTTP/1.1" 200 19487
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /main HTTP/1.1" 200 35721
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F10%2Fae5b1516-db4e-47e5-9f4b-c422b0dbe1dc_%EB%B8%94%EB%A3%A8%EB%B2%A0%EB%A6%AC%20%EB%B2%A0%EC%9D%B4%EA%B8%80.jpeg HTTP/1.1" 200 6760
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F10%2F0a70f01b-5ea2-4a74-8f87-57e62a41a63b_%ED%8B%B0%EB%9D%BC%EB%AF%B8%EC%88%98%20%EC%BC%80%EC%9D%B4%ED%81%AC.jpg HTTP/1.1" 200 6843
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2F74d18a87-1ed3-420b-b373-c2b13f7365ed_%EB%B0%94%EB%8B%90%EB%9D%BC%20%EB%8D%94%EB%B8%94%20%EC%83%B7.jpg HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2Fcf0079e8-da73-4408-b308-2aa1e914d4af_%EB%8F%8C%EC%B2%B4%EC%BD%9C%EB%93%9C%EB%B8%8C%EB%A3%A8.jpg HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2Fa2ae8378-ce2f-47f5-8d4e-43ed84fab213_%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 18496
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2F251e1d4f-a47b-4a01-8589-c9f338efe677_%EC%95%84%EC%9D%B4%EC%8A%A4%20%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 23390
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2Ff3fb3ad0-e9f2-4086-8405-60dc00a80832_%EC%95%84%EC%9D%B4%EC%8A%A4%20%EB%B0%94%EB%8B%90%EB%9D%BC%EB%B9%88%20%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 114634
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2Ffb6062c7-7707-48c5-a5a7-795987dd50b8_%EB%B0%94%EB%8B%90%EB%9D%BC%EB%9D%BC%EB%96%BC.png HTTP/1.1" 200 16562
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2F75366321-719c-4c52-8927-4be3d6fca74b_%EB%AA%A8%EC%B9%B4%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 29616
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:27 +0900] "GET /display?fileName=2023%2F01%2F08%2F33bd8132-3b09-49f7-abbe-a93754ecbd85_%EC%9E%90%EB%B0%94%EC%B9%A9%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 31661
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:31 +0900] "GET /admin/main HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:32 +0900] "GET /admin/productManage HTTP/1.1" 200 19446
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:49 +0900] "GET /main HTTP/1.1" 200 35721
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F10%2F0a70f01b-5ea2-4a74-8f87-57e62a41a63b_%ED%8B%B0%EB%9D%BC%EB%AF%B8%EC%88%98%20%EC%BC%80%EC%9D%B4%ED%81%AC.jpg HTTP/1.1" 200 6843
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F10%2Fae5b1516-db4e-47e5-9f4b-c422b0dbe1dc_%EB%B8%94%EB%A3%A8%EB%B2%A0%EB%A6%AC%20%EB%B2%A0%EC%9D%B4%EA%B8%80.jpeg HTTP/1.1" 200 6760
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2F74d18a87-1ed3-420b-b373-c2b13f7365ed_%EB%B0%94%EB%8B%90%EB%9D%BC%20%EB%8D%94%EB%B8%94%20%EC%83%B7.jpg HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2Fcf0079e8-da73-4408-b308-2aa1e914d4af_%EB%8F%8C%EC%B2%B4%EC%BD%9C%EB%93%9C%EB%B8%8C%EB%A3%A8.jpg HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2F251e1d4f-a47b-4a01-8589-c9f338efe677_%EC%95%84%EC%9D%B4%EC%8A%A4%20%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 23390
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2Fa2ae8378-ce2f-47f5-8d4e-43ed84fab213_%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 18496
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2Ffb6062c7-7707-48c5-a5a7-795987dd50b8_%EB%B0%94%EB%8B%90%EB%9D%BC%EB%9D%BC%EB%96%BC.png HTTP/1.1" 200 16562
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2F33bd8132-3b09-49f7-abbe-a93754ecbd85_%EC%9E%90%EB%B0%94%EC%B9%A9%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 31661
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2Ff3fb3ad0-e9f2-4086-8405-60dc00a80832_%EC%95%84%EC%9D%B4%EC%8A%A4%20%EB%B0%94%EB%8B%90%EB%9D%BC%EB%B9%88%20%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 114634
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:50 +0900] "GET /display?fileName=2023%2F01%2F08%2F75366321-719c-4c52-8927-4be3d6fca74b_%EB%AA%A8%EC%B9%B4%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 29616
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:51:57 +0900] "GET /resources/img/coffee_background01.jpeg HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:03 +0900] "GET /resources/img/starbucks_logo2.jpeg HTTP/1.1" 200 5110
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:12 +0900] "GET /main HTTP/1.1" 200 35704
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F10%2F0a70f01b-5ea2-4a74-8f87-57e62a41a63b_%ED%8B%B0%EB%9D%BC%EB%AF%B8%EC%88%98%20%EC%BC%80%EC%9D%B4%ED%81%AC.jpg HTTP/1.1" 200 6843
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2F251e1d4f-a47b-4a01-8589-c9f338efe677_%EC%95%84%EC%9D%B4%EC%8A%A4%20%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 23390
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F10%2Fae5b1516-db4e-47e5-9f4b-c422b0dbe1dc_%EB%B8%94%EB%A3%A8%EB%B2%A0%EB%A6%AC%20%EB%B2%A0%EC%9D%B4%EA%B8%80.jpeg HTTP/1.1" 200 6760
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2Fa2ae8378-ce2f-47f5-8d4e-43ed84fab213_%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 18496
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2F74d18a87-1ed3-420b-b373-c2b13f7365ed_%EB%B0%94%EB%8B%90%EB%9D%BC%20%EB%8D%94%EB%B8%94%20%EC%83%B7.jpg HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2Fcf0079e8-da73-4408-b308-2aa1e914d4af_%EB%8F%8C%EC%B2%B4%EC%BD%9C%EB%93%9C%EB%B8%8C%EB%A3%A8.jpg HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2F33bd8132-3b09-49f7-abbe-a93754ecbd85_%EC%9E%90%EB%B0%94%EC%B9%A9%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 31661
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2Ff3fb3ad0-e9f2-4086-8405-60dc00a80832_%EC%95%84%EC%9D%B4%EC%8A%A4%20%EB%B0%94%EB%8B%90%EB%9D%BC%EB%B9%88%20%EB%9D%BC%EB%96%BC.jpg HTTP/1.1" 200 114634
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2F75366321-719c-4c52-8927-4be3d6fca74b_%EB%AA%A8%EC%B9%B4%20%ED%94%84%EB%9D%BC%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 200 29616
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:13 +0900] "GET /display?fileName=2023%2F01%2F08%2Ffb6062c7-7707-48c5-a5a7-795987dd50b8_%EB%B0%94%EB%8B%90%EB%9D%BC%EB%9D%BC%EB%96%BC.png HTTP/1.1" 200 16562
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:15 +0900] "GET /admin/main HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:18 +0900] "GET /admin/productManage HTTP/1.1" 200 19446
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:59 +0900] "GET /admin/productManage HTTP/1.1" 200 19446
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:53:12 +0900] "GET /admin/productManage HTTP/1.1" 200 19472
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:53:19 +0900] "GET /admin/productManage HTTP/1.1" 200 19475
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:53:42 +0900] "GET /admin/productManage HTTP/1.1" 200 19455
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:53:46 +0900] "GET /admin/productManage HTTP/1.1" 200 19455
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:53:50 +0900] "GET /admin/productManage HTTP/1.1" 200 19455
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:53:54 +0900] "GET /admin/productManage HTTP/1.1" 200 19475
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:54:28 +0900] "GET /admin/productManage HTTP/1.1" 200 19494
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:54:30 +0900] "GET /admin/productManage HTTP/1.1" 200 19494
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:54:54 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:14 +0900] "GET /admin/productManage HTTP/1.1" 200 19476
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:14 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:16 +0900] "GET /admin/productManage HTTP/1.1" 200 19476
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:16 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:25 +0900] "GET /admin/productManage HTTP/1.1" 200 19479
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:26 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:31 +0900] "GET /admin/productManage HTTP/1.1" 200 19476
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:32 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:43 +0900] "GET /admin/productManage HTTP/1.1" 200 19476
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:44 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:45 +0900] "GET /admin/productManage HTTP/1.1" 200 19476
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:46 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:50 +0900] "GET /admin/productManage HTTP/1.1" 200 19476
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/css/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59378
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/css/admin/sb-admin-2.min.css HTTP/1.1" 200 168180
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/css/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/css/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:51 +0900] "GET /resources/css/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:55:52 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:11 +0900] "GET /admin/productManage HTTP/1.1" 200 19491
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:12 +0900] "GET /resources/css/admin/sb-admin-2.min.css HTTP/1.1" 200 168180
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:12 +0900] "GET /resources/css/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:12 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:12 +0900] "GET /resources/css/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:12 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:12 +0900] "GET /resources/css/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59378
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:12 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:13 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:29 +0900] "GET /admin/productManage HTTP/1.1" 200 19478
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:29 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:29 +0900] "GET /resources/css/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:35 +0900] "GET /admin/productManage HTTP/1.1" 200 19496
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:36 +0900] "GET /resources/css/admin/sb-admin-2.min.css HTTP/1.1" 200 168180
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:36 +0900] "GET /resources/css/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59378
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:36 +0900] "GET /resources/css/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:36 +0900] "GET /resources/css/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:57:36 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1265
